aah	a·h
abilities	u·hbi·lu·hti·z
ability	u·hbi·lu·hti
abjection	a·bje·kshn
abjectly	a·bje·ktli
abjure	u·hbjya·wː
ablation	u·hble·ytiu·hn
ablaze	u·hble·yz
able	e·ybu·hl
abler	e·yblu·h
ablest	e·yblu·hst
ablution	u·hbloo·shn
ablutions	u·hbloo·shnz
ably	e·ybli
abnegate	a·bni·ge·yt
abnegation	a·bni·ge·yshn
abnormal	u·hbna·wːmu·hl
abnormalities	u·hbna·wːma·li·ti·z
abnormality	u·hbna·wːma·li·ti
abnormally	u·hbna·wːmu·hli
aboard	u·hba·wːd
abode	u·hbo·hd
abodes	u·hbo·hdz
abolish	u·hbɒli·sh
abolished	u·hbɒli·sht
abolishes	u·hbɒli·shi·z
abolishing	u·hbɒli·shi·ng
abolishment	u·hbɒli·shmu·hnt
abolition	a·bu·hli·shn
abolitionist	a·bu·hli·shni·st
abolitionists	a·bu·hli·shni·sts
abominable	u·hbɒmi·nu·hbu·hl
abominably	u·hbɒmi·nu·hbli
abominate	u·hbɒmi·ne·yt
abominated	u·hbɒmi·ne·yti·d
abomination	u·hbɒmi·ne·yshn
abominations	u·hbɒmi·ne·yshnz
abominator	u·hbɒmi·ne·ytu·h
aboriginal	a·bu·hri·ji·nu·hl
aboriginals	a·bu·hri·ji·nu·hlz
aborigine	a·bu·hri·ju·hni
aborigines	a·bu·hri·ju·hni·z
abort	u·hba·wːt
aborted	u·hba·wːti·d
aborting	u·hba·wːti·ng
abortion	u·hba·wːshn
abortionist	u·hba·wːshni·st
abortionists	u·hba·wːshni·sts
abortions	u·hba·wːshnz
abortive	u·hba·wːti·v
aborts	u·hba·wːts
abound	u·hbo·wnd
abounded	u·hbo·wndi·d
abounding	u·hbo·wndi·ng
abounds	u·hbo·wndz
about	u·hbo·wt
above	u·hbu·hv
abracadabra	a·bru·hku·hda·bru·h
abrade	u·hbre·yd
abraded	u·hbre·ydi·d
abrades	u·hbre·ydz
abrading	u·hbre·ydi·ng
abrasion	u·hbre·yzhu·hn
abrasions	u·hbre·yzhu·hnz
abrasive	u·hbre·ysi·v
abrasiveness	u·hbre·ysi·vnu·hs
abrasives	u·hbre·ysi·vz
abraxas	u·hbra·ksu·hs
abreast	u·hbre·st
abri	u·hbri
abridged	u·hbri·jd
abridgement	u·hbri·jmu·hnt
abroad	u·hbra·wːd
abrogated	a·bru·hge·yti·d
abrogating	a·bru·hge·yti·ng
abrogation	a·bru·hge·yshn
abrupt	u·hbru·hpt
abruption	u·hbru·hpshn
abruptly	u·hbru·hptli
abruptness	u·hbru·hptnu·hs
abs	a·bz
abscess	a·bse·s
abscesses	a·bse·si·z
abscond	u·hbskɒnd
absconded	u·hbskɒndi·d
absconding	u·hbskɒndi·ng
absconds	u·hbskɒndz
abseil	a·bse·yl
abseiled	a·bse·yld
abseiler	a·bse·ylu·h
abseiling	a·bse·yli·ng
abseils	a·bse·ylz
absence	a·bsu·hns
absences	a·bsu·hnsi·z
absented	a·bse·nti·d
absentee	a·bsu·hntIy
absenteeism	a·bsu·hntIyi·zu·hm
absentees	a·bsu·hntIyz
absenting	a·bse·nti·ng
absentminded	a·bsu·hntmai·ndi·d
absentmindedly	a·bsu·hntmai·ndi·dli
absinthe	a·bsi·nth
absolute	a·bsu·hloo·t
absolutely	a·bsu·hloo·tli
absolutes	a·bsu·hloo·ts
absolution	a·bsu·hloo·shn
absolutism	a·bsu·hloo·ti·zu·hm
absolutist	a·bsu·hloo·ti·st
absolve	u·hbsɒlv
absolved	u·hbsɒlvd
absolves	u·hbsɒlvz
absolving	u·hbsɒlvi·ng
absorbable	u·hbsa·wːbu·hbu·hl
absorb	u·hbsa·wːb
absorbed	u·hbsa·wːbd
absorbency	u·hbsa·wːbu·hnsi
absorbent	u·hbsa·wːbu·hnt
absorber	u·hbsa·wːbu·h
absorbers	u·hbsa·wːbu·hz
absorbing	u·hbsa·wːbi·ng
absorbs	u·hbsa·wːbz
absorption	u·hbsa·wːpshn
abstain	u·hbste·yn
abstained	u·hbste·ynd
abstainers	u·hbste·ynu·hz
abstaining	u·hbste·yni·ng
abstains	u·hbste·ynz
abstemious	u·hbstIymiu·hs
abstention	u·hbste·nshn
abstentions	u·hbste·nshnz
abstinence	a·bsti·nu·hns
abstinent	a·bsti·nu·hnt
abstracted	u·hbstra·kti·d
abstracting	u·hbstra·kti·ng
abstraction	u·hbstra·kshn
abstractions	u·hbstra·kshnz
abstractly	u·hbstra·ktli
abstruse	u·hbstroo·s
absurd	u·hbsɜːd
absurdist	u·hbsɜːdi·st
absurdities	u·hbsɜːdi·ti·z
absurdity	u·hbsɜːdi·ti
absurdly	u·hbsɜːdli
abundance	u·hbu·hndu·hns
abundances	u·hbu·hndu·hnsi·z
abundant	u·hbu·hndu·hnt
abundantly	u·hbu·hndu·hntli
abused	u·hbyoo·sd
abuser	u·hbyoo·su·h
abusers	u·hbyoo·su·hz
abusing	u·hbyoo·si·ng
abusive	u·hbyoo·si·v
abusively	u·hbyoo·si·vli
abut	u·hbu·ht
abutment	u·hbu·htmu·hnt
abutments	u·hbu·htmu·hnts
abuts	u·hbu·hts
abutting	u·hbu·hti·ng
abuzz	u·hbu·hz
aby	u·hbai
abysmal	u·hbi·smu·hl
abysmally	u·hbi·smu·hli
abyssal	u·hbi·su·hl
abyss	u·hbi·s
abysses	u·hbi·si·z
acacia	u·hke·yshu·h
acacias	u·hke·yshu·hz
academe	u·hka·du·hmi
academia	a·ku·hdIymiu·h
academic	a·ku·hde·mi·k
academical	a·ku·hde·mi·ku·hl
academically	a·ku·hde·mi·kli
academician	a·ku·hdi·mi·shn
academicians	a·ku·hdi·mi·shnz
academics	a·ku·hde·mi·ks
academies	u·hka·du·hmi·z
academy	u·hka·du·hmi
acanthus	u·hka·hnthu·hs
acceded	u·hksIydi·d
accede	u·hksIyd
acceding	u·hksIydi·ng
accelerando	u·hkse·lu·hra·ndo·h
accelerant	u·hkse·lu·hru·hnt
accelerated	u·hkse·lu·hre·yti·d
accelerate	u·hkse·lu·hre·yt
accelerates	u·hkse·lu·hre·yts
accelerating	u·hkse·lu·hre·yti·ng
acceleration	u·hkse·lu·hre·yshn
accelerations	u·hkse·lu·hre·yshnz
accelerator	u·hkse·lu·hre·ytu·h
accelerators	u·hkse·lu·hre·ytu·hz
accelerometer	u·hkse·lu·hrɒmi·tu·h
accelerometers	u·hkse·lu·hrɒmi·tu·hz
accented	a·ksu·hnti·d
accentuate	a·kse·nchooe·yt
accentuated	a·kse·nchooe·yti·d
accentuates	a·kse·nchooe·yts
accentuating	a·kse·nchooe·yti·ng
acceptability	u·hkse·ptu·hbi·li·ti
acceptable	u·hkse·ptu·hbu·hl
acceptably	u·hkse·ptu·hbli
acceptance	u·hkse·ptu·hns
acceptances	u·hkse·ptu·hnsi·z
acceptation	u·hksi·pte·yshn
accepted	u·hkse·pti·d
accepting	u·hkse·pti·ng
accept	u·hkse·pt
accepts	u·hkse·pts
access	a·kse·s
accessed	a·kse·st
accesses	a·kse·si·z
accessibility	u·hkse·su·hbi·li·ti
accessible	u·hkse·su·hbu·hl
accessibly	u·hkse·su·hbli
accessing	a·kse·si·ng
accession	u·hkse·shn
accessories	u·hkse·su·hri·z
accessorised	u·hkse·sa·wːrai·zd
accessorise	u·hkse·sa·wːrai·z
accessorising	u·hkse·sa·wːrai·zi·ng
accessory	u·hkse·su·hri
accident	a·ksi·du·hnt
accidental	a·ksi·de·ntu·hl
accidentally	a·ksi·de·ntu·hli
accidently	a·ksi·du·hntli
accidents	a·ksi·du·hnts
accidie	a·ksi·di
acclaimed	u·hkle·ymd
acclaiming	u·hkle·ymi·ng
acclaim	u·hkle·ym
acclaims	u·hkle·ymz
acclamation	u·hklu·hme·yshn
acclimated	u·hklai·mu·hti·d
acclimate	u·hklai·mu·ht
acclimatisation	u·hklai·mu·htai·ze·yshn
acclimatised	u·hklai·mu·htai·zd
acclimatise	u·hklai·mu·htai·z
acclimatising	u·hklai·mu·htai·zi·ng
accolade	a·ku·hle·yd
accolades	a·ku·hle·ydz
accommodated	u·hkɒmu·hde·yti·d
accommodate	u·hkɒmu·hde·yt
accommodates	u·hkɒmu·hde·yts
accommodating	u·hkɒmu·hde·yti·ng
accommodation	u·hkɒmu·hde·yshn
accommodations	u·hkɒmu·hde·yshnz
accompanied	u·hku·hmpu·hni·d
accompanies	u·hku·hmpu·hni·z
accompaniment	u·hku·hmpu·hni·mu·hnt
accompaniments	u·hku·hmpu·hni·mu·hnts
accompanist	u·hku·hmpu·hni·st
accompanists	u·hku·hmpu·hni·sts
accompanying	u·hku·hmpu·hnii·ng
accompany	u·hku·hmpu·hni
accomplice	u·hkɒmpli·s
accomplices	u·hkɒmpli·si·z
accomplished	u·hkɒmpli·sht
accomplishes	u·hkɒmpli·shi·z
accomplishing	u·hkɒmpli·shi·ng
accomplish	u·hkɒmpli·sh
accomplishment	u·hkɒmpli·shmu·hnt
accomplishments	u·hkɒmpli·shmu·hnts
accordance	u·hka·wːdu·hns
accordant	u·hka·wːdu·hnt
accorded	u·hka·wːdi·d
according	u·hka·wːdi·ng
accordingly	u·hka·wːdi·ngli
accordionist	u·hka·wːdiu·hni·st
accordionists	u·hka·wːdiu·hni·sts
accordion	u·hka·wːdiu·hn
accordions	u·hka·wːdiu·hnz
accord	u·hka·wːd
accords	u·hka·wːdz
accosted	u·hkɒsti·d
accosting	u·hkɒsti·ng
accost	u·hkɒst
accosts	u·hkɒsts
accountability	u·hko·wntu·hbi·li·ti
accountable	u·hko·wntu·hbu·hl
accountancy	u·hko·wntu·hnsi
accountant	u·hko·wntu·hnt
accountants	u·hko·wntu·hnts
accounted	u·hko·wnti·d
accounting	u·hko·wnti·ng
account	u·hko·wnt
accounts	u·hko·wnts
accoutred	u·hkoo·tru·hd
accoutrement	u·hkoo·tri·mu·hnt
accoutrements	u·hkoo·tri·mu·hnts
accreditation	u·hkre·di·te·yshn
accredited	u·hkre·di·ti·d
accredits	u·hkre·di·ts
accreted	u·hkrIyti·d
accrete	u·hkrIyt
accretion	u·hkre·shn
accretions	u·hkre·shnz
accrual	u·hkroou·hl
accrued	u·hkroo·d
accrue	u·hkroo
accrues	u·hkroo·z
accruing	u·hkrooi·ng
acculturated	u·hku·hlchu·hre·yti·d
accumulated	u·hkyoo·myu·le·yti·d
accumulate	u·hkyoo·myu·le·yt
accumulates	u·hkyoo·myu·le·yts
accumulating	u·hkyoo·myu·le·yti·ng
accumulation	u·hkyoo·myu·le·yshn
accumulations	u·hkyoo·myu·le·yshnz
accumulative	u·hkyoo·myu·lu·hti·v
accumulator	u·hkyoo·myu·le·ytu·h
accumulators	u·hkyoo·myu·le·ytu·hz
accuracy	a·kyu·ru·hsi
accurate	a·kyu·ru·ht
accurately	a·kyu·ru·htli
accursed	u·hkɜːsi·d
accusation	a·kyoo·ze·yshn
accusations	a·kyoo·ze·yshnz
accusative	u·hkyoo·zu·hti·v
accusatory	u·hkyoo·zu·htu·hri
accused	u·hkyoo·zd
accuse	u·hkyoo·z
accuser	u·hkyoo·zu·h
accusers	u·hkyoo·zu·hz
accuses	u·hkyoo·zi·z
accusing	u·hkyoo·zi·ng
accusingly	u·hkyoo·zi·ngli
accustomed	u·hku·hstu·hmd
accustom	u·hku·hstu·hm
aced	e·yst
ace	e·ys
acerbic	u·hsɜːbi·k
aces	e·ysi·z
acetate	a·si·te·yt
acetates	a·si·te·yts
acetic	u·hsIyti·k
acetone	a·si·town
acetyl	a·si·tai·l
acetylene	u·hse·tu·hlIyn
ached	e·ykt
aches	e·ykz
achievable	u·hchIyvu·hbu·hl
achieved	u·hchIyvd
achievements	u·hchIyvmu·hnts
achievement	u·hchIyvmu·hnt
achievers	u·hchIyvu·hz
achiever	u·hchIyvu·h
achieves	u·hchIyvz
achieve	u·hchIyv
achieving	u·hchIyvi·ng
aching	e·yki·ng
achingly	u·hchi·ngli
achoo	u·hchoo
achy	e·yki
acid	a·si·d
acidic	u·hsi·di·k
acidification	u·hsi·di·fi·ke·yshn
acidified	u·hsi·di·fai·d
acidifying	u·hsi·di·faii·ng
acidify	u·hsi·di·fai
acidity	a·si·di·ti
acidosis	u·hsi·do·hsi·s
acidotic	u·hsi·dɒti·k
acids	a·si·dz
acidulated	u·hsi·dyu·le·yti·d
acing	e·ysi·ng
acknowledged	u·hknɒli·jd
acknowledge	u·hknɒli·j
acknowledgement	u·hknɒli·jmu·hnt
acknowledgements	u·hknɒli·jmu·hnts
acknowledges	u·hknɒli·ji·z
acknowledging	u·hknɒli·ji·ng
acknowledgment	u·hknɒli·jmu·hnt
acknowledgments	u·hknɒli·jmu·hnts
acme	a·kmi
acne	a·kni
acolyte	a·ku·hlai·t
acolytes	a·ku·hlai·ts
aconite	a·ku·hnai·t
aconites	a·ku·hnai·ts
acorn	e·yka·wːn
acorns	e·yka·wːnz
acoustical	u·hkoo·sti·ku·hl
acoustically	u·hkoo·sti·kli
acoustician	u·hkoo·sti·shn
acousticians	u·hkoo·sti·shnz
acoustic	u·hkoo·sti·k
acoustics	u·hkoo·sti·ks
acquaintance	u·hkwe·yntu·hns
acquaintanceship	u·hkwe·yntu·hnsshi·p
acquaintances	u·hkwe·yntu·hnsi·z
acquainted	u·hkwe·ynti·d
acquainting	u·hkwe·ynti·ng
acquaint	u·hkwe·ynt
acquiesce	a·kwie·s
acquiesced	a·kwie·st
acquiescence	a·kwie·su·hns
acquiescent	a·kwie·su·hnt
acquiesces	a·kwie·si·z
acquiescing	a·kwie·si·ng
acquired	u·hkwaiu·hd
acquire	u·hkwaiu·h
acquirer	u·hkwaiu·hru·h
acquires	u·hkwaiu·hz
acquiring	u·hkwaiu·hri·ng
acquisition	u·hkwi·si·shn
acquisitions	u·hkwi·si·shnz
acquisitive	u·hkwi·zi·ti·v
acquit	u·hkwi·t
acquits	u·hkwi·ts
acquittal	u·hkwi·tu·hl
acquittals	u·hkwi·tu·hlz
acquitted	u·hkwi·ti·d
acquitting	u·hkwi·ti·ng
acreage	e·yku·hri·j
acreages	e·yku·hri·ji·z
acred	e·yku·hd
acres	e·yku·hz
acrid	a·kri·d
acrimonious	a·kri·mo·hniu·hs
acrimoniously	a·kri·mo·hniu·hsli
acrimony	a·kri·mu·hni
acrobat	a·kru·hba·t
acrobatic	a·kru·hba·ti·k
acrobatically	a·kru·hba·ti·kli
acrobatics	a·kru·hba·ti·ks
acrobats	a·kru·hba·ts
acromegaly	a·kro·hmgu·hli
acromion	a·kro·hmiu·hn
acronym	a·kru·hni·m
acronyms	a·kru·hni·mz
acrophobia	a·kru·hfo·hbiu·h
acropolis	a·krɒpu·hli·z
across	u·hkrɒs
acrostics	a·krɒsti·ks
acrylic	u·hkri·li·k
acrylics	u·hkri·li·ks
act	a·kt
acted	a·kti·d
actin	a·kti·n
acting	a·kti·ng
actinic	a·kti·ni·k
actinide	a·kti·nai·d
actinium	a·kti·niu·hm
actionable	a·kshnu·hbu·hl
action	a·kshn
actions	a·kshnz
activate	a·kti·ve·yt
activated	a·kti·ve·yti·d
activates	a·kti·ve·yts
activating	a·kti·ve·yti·ng
activation	a·kti·ve·yshn
activations	a·kti·ve·yshnz
activator	a·kti·ve·ytu·h
active	a·kti·v
actively	a·kti·vli
actives	a·kti·vz
activism	a·kti·vi·zu·hm
activist	a·kti·vi·st
activists	a·kti·vi·sts
activities	a·kti·vi·ti·z
activity	a·kti·vi·ti
actor	a·ktu·h
actors	a·ktu·hz
actress	a·ktru·hs
actresses	a·ktru·hsi·z
acts	a·kts
actual	a·kchoou·hl
actualisation	a·kchoou·hlai·ze·yshn
actualise	a·kchoou·hlai·z
actualised	a·kchoou·hlai·zd
actualities	a·kchooa·li·ti·z
actuality	a·kchooa·li·ti
actually	a·kchoou·hli
actuarial	a·kchooeu·hriu·hl
actuarially	a·kchooeu·hriu·hli
actuaries	a·kchoou·hri·z
actuary	a·kchoou·hri
actuated	a·kchooe·yti·d
actuator	a·kchooe·ytu·h
actuators	a·kchooe·ytu·hz
acuity	u·hkyooi·ti
acumen	a·kyoo·me·n
acupressure	a·ku·hpre·shu·h
acupuncture	a·kyoo·pu·hngkchu·h
acupuncturist	a·kyoo·pu·hngkchu·hri·st
acute	u·hkyoo·t
acutely	u·hkyoo·tli
acuteness	u·hkyoo·tnu·hs
acuter	u·hkyoo·tu·h
acyclovir	u·hkai·klu·hviu·h
ad	a·d
adage	a·di·j
adages	a·di·ji·z
adagio	a·da·hjio·h
adamant	a·du·hmu·hnt
adamantine	a·du·hma·hntIyn
adamantly	a·du·hmu·hntli
adaptability	u·hda·ptu·hbi·li·ti
adaptable	u·hda·ptu·hbu·hl
adaptation	u·hdu·hpte·yshn
adaptations	u·hdu·hpte·yshnz
adapt	u·hda·pt
adapted	u·hda·pti·d
adapter	u·hda·ptu·h
adapters	u·hda·ptu·hz
adapting	u·hda·pti·ng
adaption	u·hda·pshn
adaptions	u·hda·pshnz
adaptive	u·hda·pti·v
adaptively	u·hda·pti·vli
adaptor	u·hda·ptu·h
adaptors	u·hda·ptu·hz
adapts	u·hda·pts
add	a·d
added	a·di·d
addendum	u·hde·ndu·hm
adder	a·du·h
adders	a·du·hz
addicted	u·hdi·kti·d
addicting	u·hdi·kti·ng
addiction	u·hdi·kshn
addictions	u·hdi·kshnz
addictive	u·hdi·kti·v
adding	a·di·ng
additional	u·hdi·shnu·hl
additionally	u·hdi·shnu·hli
addition	u·hdi·shn
additions	u·hdi·shnz
additive	a·di·ti·v
additives	a·di·ti·vz
addle	a·du·hl
addled	a·du·hld
addles	a·du·hlz
addling	a·dli·ng
addressable	u·hdre·su·hbu·hl
addressed	u·hdre·st
addressee	u·hdre·sIy
addresses	u·hdre·si·z
addressing	u·hdre·si·ng
adds	a·dz
adduced	u·hdyoo·st
adduce	u·hdyoo·s
adductor	u·hdu·hktu·h
adenine	a·du·hnIyn
adenocarcinoma	a·du·hnɒka·hsi·no·hmu·h
adenoidal	a·du·hno·ydu·hl
adenoids	a·du·hno·ydz
adenosine	a·du·hnɒsai·n
adeptly	u·hde·ptli
adeptness	u·hde·ptnu·hs
adequacy	a·di·kwu·hsi
adequate	a·di·kwu·ht
adequately	a·di·kwu·htli
adhered	a·thHiu·hd
adhere	u·hthHiu·h
adherence	u·hthHiu·hru·hns
adherent	u·hthHiu·hru·hnt
adherents	u·hthHiu·hru·hnts
adheres	u·hthHiu·hz
adhering	a·thHiu·hri·ng
adhesion	u·hthHIyzhu·hn
adhesive	u·hthHIysi·v
adhesives	u·hthHIysi·vz
adiabatic	e·ydiu·hba·ti·k
adieu	u·hdyoo
adieux	u·hdyoo·z
adipose	a·di·po·hz
adits	a·di·ts
adjacent	u·hje·ysu·hnt
adjectival	a·ji·ktai·vu·hl
adjective	a·ji·kti·v
adjectives	a·ji·kti·vz
adjoin	u·hjo·yn
adjoined	u·hjo·ynd
adjoining	u·hjo·yni·ng
adjoins	u·hjo·ynz
adjourn	u·hjɜːn
adjourned	u·hjɜːnd
adjourning	u·hjɜːni·ng
adjournment	u·hjɜːnmu·hnt
adjourns	u·hjɜːnz
adjudged	u·hju·hjd
adjudicated	u·hjoo·di·ke·yti·d
adjudicate	u·hjoo·di·ke·yt
adjudicates	u·hjoo·di·ke·yts
adjudicating	u·hjoo·di·ke·yti·ng
adjudication	u·hjoo·di·ke·yshn
adjudications	u·hjoo·di·ke·yshnz
adjudicator	u·hjoo·di·ke·ytu·h
adjudicators	u·hjoo·di·ke·ytu·hz
adjunct	a·dju·hngkt
adjustable	u·hju·hstu·hbu·hl
adjust	u·hju·hst
adjusted	u·hju·hsti·d
adjuster	u·hju·hstu·h
adjusters	u·hju·hstu·hz
adjusting	u·hju·hsti·ng
adjustment	u·hju·hstmu·hnt
adjustments	u·hju·hstmu·hnts
adjustor	u·hju·hstu·h
adjustors	u·hju·hstu·hz
adjusts	u·hju·hsts
adjutant	a·joo·tu·hnt
adjuvant	u·hjoo·vu·hnt
admen	u·hdme·n
administer	u·hdmi·ni·stu·h
administered	u·hdmi·ni·stu·hd
administering	u·hdmi·ni·stu·hri·ng
administers	u·hdmi·ni·stu·hz
administrate	u·hdmi·ni·stre·yt
administrating	u·hdmi·ni·stre·yti·ng
administration	u·hdmi·ni·stre·yshn
administrations	u·hdmi·ni·stre·yshnz
administrative	u·hdmi·ni·stru·hti·v
administratively	u·hdmi·ni·stru·hti·vli
administrator	u·hdmi·ni·stre·ytu·h
administrators	u·hdmi·ni·stre·ytu·hz
admirable	a·dmu·hru·hbu·hl
admirably	a·dmu·hru·hbli
admiral	a·dmɜːru·hl
admirals	a·dmɜːru·hlz
admiralty	a·dmu·hru·hlti
admiration	a·dmu·hre·yshn
admired	u·hdmaiu·hd
admire	u·hdmaiu·h
admirer	u·hdmaiu·hru·h
admirers	u·hdmaiu·hru·hz
admires	u·hdmaiu·hz
admiring	u·hdmaiu·hri·ng
admiringly	u·hdmaiu·hri·ngli
admissibility	u·hdmi·su·hbi·li·ti
admissible	u·hdmi·su·hbu·hl
admission	u·hdmi·shn
admissions	u·hdmi·shnz
admit	u·hdmi·t
admits	u·hdmi·ts
admittance	u·hdmi·tu·hns
admitted	u·hdmi·ti·d
admittedly	u·hdmi·ti·dli
admitting	u·hdmi·ti·ng
admixture	u·hdmi·kschu·h
admonish	u·hdmɒni·sh
admonished	u·hdmɒni·sht
admonishes	u·hdmɒni·shi·z
admonishing	u·hdmɒni·shi·ng
admonishment	u·hdmɒni·shmu·hnt
admonition	a·dmu·hni·shn
admonitions	a·dmu·hni·shnz
adobe	u·hdo·hbi
ado	u·hdoo
adolescence	a·du·hle·su·hns
adolescent	a·du·hle·su·hnt
adolescents	a·du·hle·su·hnts
adonis	a·do·hni·z
adonises	a·du·hnai·zi·z
adoptable	u·hdɒptu·hbu·hl
adopt	u·hdɒpt
adopted	u·hdɒpti·d
adoptee	u·hdɒptIy
adopter	u·hdɒptu·h
adopters	u·hdɒptu·hz
adopting	u·hdɒpti·ng
adoption	u·hdɒpshn
adoptions	u·hdɒpshnz
adoptive	u·hdɒpti·v
adopts	u·hdɒpts
adorable	u·hda·wːru·hbu·hl
adorableness	u·hda·wːru·hbu·hlnu·hs
adorably	u·hda·wːru·hbli
adoration	a·du·hre·yshn
adored	u·hda·wːd
adore	u·hda·wː
adorers	u·hda·wːru·hz
adores	u·hda·wːz
adoring	u·hda·wːri·ng
adoringly	u·hda·wːri·ngli
adorn	u·hda·wːn
adorned	u·hda·wːnd
adorning	u·hda·wːni·ng
adornment	u·hda·wːnmu·hnt
adornments	u·hda·wːnmu·hnts
adorns	u·hda·wːnz
adown	u·hdo·wn
adrenal	u·hdrIynu·hl
adrenalin	u·hdre·nu·hli·n
adrenaline	u·hdre·nu·hli·n
adrift	u·hdri·ft
adroit	u·hdro·yt
adroitly	u·hdro·ytli
ads	a·dz
adsorption	u·hdsa·wːpshn
adulate	a·dyu·le·yt
adulated	a·dyu·le·yti·d
adulation	a·dyu·le·yshn
adult	a·du·hlt
adulterated	u·hdu·hltu·hre·yti·d
adulterating	u·hdu·hltu·hre·yti·ng
adulteration	u·hdu·hltu·hre·yshn
adulterer	u·hdu·hltu·hru·h
adulterers	u·hdu·hltu·hru·hz
adulteress	u·hdu·hltu·hru·hs
adulteresses	u·hdu·hltu·hru·hsi·z
adulteries	u·hdu·hltu·hri·z
adulterous	u·hdu·hltu·hru·hs
adultery	u·hdu·hltu·hri
adulthood	u·hdu·hlthHu·d
adults	a·du·hlts
advanced	u·hdva·nst
advance	u·hdva·ns
advancement	u·hdva·nsmu·hnt
advancements	u·hdva·nsmu·hnts
advances	u·hdva·nsi·z
advancing	u·hdva·nsi·ng
advantaged	u·hdva·hnti·jd
advantage	u·hdva·hnti·j
advantageous	u·hdva·hnte·yju·hs
advantageously	u·hdva·hnte·yju·hsli
advantages	u·hdva·hnti·ji·z
advent	a·dve·nt
adventitious	a·dvi·nti·shu·hs
adventured	u·hdve·nchu·hd
adventure	u·hdve·nchu·h
adventurer	u·hdve·nchu·hru·h
adventurers	u·hdve·nchu·hru·hz
adventures	u·hdve·nchu·hz
adventuresome	u·hdve·nchu·hsu·hm
adventuress	u·hdve·nchu·hre·s
adventuring	u·hdve·nchu·hri·ng
adventurism	u·hdve·nchu·hri·zu·hm
adventurist	u·hdve·nchu·hri·st
adventurists	u·hdve·nchu·hri·sts
adventurous	u·hdve·nchu·hru·hs
adventurously	u·hdve·nchu·hru·hsli
adventurousness	u·hdve·nchu·hru·hsnu·hs
adverb	a·dvɜːb
adverbs	a·dvɜːbz
adversarial	a·dvu·hseu·hriu·hl
adversaries	a·dvu·hsu·hri·z
adversary	a·dvu·hsu·hri
adverse	a·dvɜːs
adversely	a·dvɜːsli
adversities	a·dvu·hsi·ti·z
adversity	a·dvu·hsi·ti
adverted	u·hdvɜːti·d
advertise	a·dvu·htai·z
advertised	a·dvu·htai·zd
advertisement	u·hdvɜːti·smu·hnt
advertisements	a·dvu·htai·zmu·hnts
advertiser	a·dvu·htai·zu·h
advertisers	a·dvu·htai·zu·hz
advertises	a·dvu·htai·zi·z
advertising	a·dvu·htai·zi·ng
advice	u·hdvai·s
advices	u·hdvai·si·z
advisability	u·hdvai·zu·hbi·li·ti
advisable	u·hdvai·zu·hbu·hl
advised	u·hdvai·zd
advisedly	u·hdvai·zi·dli
advise	u·hdvai·z
adviser	u·hdvai·zu·h
advisers	u·hdvai·zu·hz
advises	u·hdvai·zi·z
